powder_sim,laser_e_num_density,metal_elec_resistivity,time_total_time,time_scan_speed,time_laser_power,metal_beta
0,1.8e29,3e-7,2500e-6,0.7,500,2.6e-7
0,1.8e29,3e-7,2500e-6,0.7,500,2.6e-4
