time_us,depth_um
63.62854686,197.8467019
83.4049871,165.8755346
102.3215821,193.9053724
122.9578676,200.1150183
142.7343078,200.0919029
159.9312124,154.4873871
177.9879622,152.1286194
198.6242476,207.8187848
217.5408426,154.4200511
237.3172829,179.3320008
256.2338779,171.1280723
273.4307825,115.3936863
294.0670679,176.5383971
312.9836629,171.0617414
331.900258,114.5461246
351.6766982,183.4840482
370.5932932,156.1892106
389.5098882,143.6995678
408.4264832,162.3787562
428.2029235,145.2127838
446.2596733,159.9968733
466.8959587,147.8948309
484.9527085,138.1334658
505.588994,122.5249299
541.7024936,153.2619401
560.6190886,78.43463501
582.1152193,139.9679512
596.7325881,133.3274894
618.2287188,147.328338
636.2854686,106.7877522
657.7815993,123.905484
674.9785039,134.7944747
693.8950989,125.0321046
714.5313844,132.0209713
732.5881341,109.4024634
754.0842648,113.6630523
769.5614789,96.89171534
791.9174549,85.95649406
805.6749785,118.2780762
846.9475494,133.8142511
865.0042992,152.4944445
885.6405847,122.8599346
904.5571797,158.6819801
922.6139295,85.41412156
944.9699054,150.4529263
962.16681,139.9133455
980.2235598,146.5156168
1000,132.0769171
